job_id,arrival_time,duration,gpu_count,gpu_type,preemptible,workload_kind,priority,source_trace
ph-application_1506638472019_21808,481.2823333333333,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_21917,481.53333333333336,6,1,NVIDIA-B200,True,inference,0,philly
ph-application_1506638472019_22409,485.9583333333333,6,1,NVIDIA-B200,True,inference,0,philly
ph-application_1506638472019_22500,489.8066666666667,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_22618,492.81466666666665,8,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_22782,494.496,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_22833,494.6023333333333,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_23006,495.8983333333333,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_23233,498.0806666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_23381,498.4273333333333,6,1,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_23482,498.6566666666667,6,1,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_23499,498.69933333333336,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_23523,498.75533333333334,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_23556,499.46066666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_23638,499.71166666666664,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_23868,500.6066666666667,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_24322,502.64366666666666,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_24344,502.70466666666664,6,1,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_24475,508.293,8,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_24615,508.982,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_24628,509.0403333333333,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_24890,509.8863333333333,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_25096,510.3623333333333,6,1,NVIDIA-B200,True,inference,0,philly
ph-application_1506638472019_25213,510.716,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_25220,510.743,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_25392,511.32366666666667,6,1,NVIDIA-B200,True,inference,0,philly
ph-application_1506638472019_25601,511.80466666666666,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_25750,513.14,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_25947,514.6146666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_26148,515.7646666666667,6,8,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_26229,516.3063333333333,6,1,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_26307,521.175,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_26604,525.804,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_26717,526.04,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_26756,526.1166666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_27276,529.1946666666666,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_27442,529.6003333333333,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_27716,533.1576666666666,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_27740,533.3906666666667,6,4,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_27912,535.8636666666666,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_27948,536.0023333333334,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_28023,536.1933333333334,6,1,NVIDIA-B200,True,inference,0,philly
ph-application_1506638472019_28037,536.2166666666667,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_28044,536.2336666666666,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_28071,536.2776666666666,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_28162,536.5846666666666,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_28228,536.8933333333333,6,1,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_28352,537.6066666666667,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_28770,539.159,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_28791,539.2293333333333,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_29344,553.6303333333333,6,4,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_29405,555.7446666666667,6,4,NVIDIA-B200,True,training,0,philly
ph-application_1506638472019_29468,556.242,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_29936,567.0446666666667,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_29974,568.6063333333333,6,1,NVIDIA-B200,False,inference,0,philly
ph-application_1506638472019_29987,569.8373333333333,6,8,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_30423,573.915,6,1,NVIDIA-B200,False,training,0,philly
ph-application_1506638472019_30633,574.7843333333333,6,1,NVIDIA-B200,False,training,0,philly
