namespace,pod,phase,start,finish
ns-16904374776309414,instance-1631-0,Running,2023-12-15 11:00:00+09:00,2023-12-16 11:00:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-12-18 14:00:00+09:00,2023-12-19 14:00:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-12-19 14:15:00+09:00,2023-12-20 14:15:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-12-20 14:30:00+09:00,2023-12-22 14:30:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-12-27 14:15:00+09:00,2023-12-28 14:15:00+09:00
ns-16904374776309414,instance-1631-0,Running,2023-12-28 14:30:00+09:00,2023-12-29 14:30:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-01-02 13:15:00+09:00,2024-01-04 13:15:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-01-04 14:00:00+09:00,2024-01-05 14:00:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-01-05 14:15:00+09:00,2024-01-06 14:15:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-01-08 09:45:00+09:00,2024-01-09 09:45:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-01-09 10:00:00+09:00,2024-01-10 10:00:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-01-10 10:45:00+09:00,2024-01-11 10:45:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-01-11 17:15:00+09:00,2024-01-12 17:30:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-01-12 17:45:00+09:00,2024-01-13 17:45:00+09:00
ns-16904374776309414,instance-1631-0,Pending,2024-01-15 10:15:00+09:00,2024-01-15 17:15:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-01-15 17:15:00+09:00,2024-01-16 09:45:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-01-16 10:00:00+09:00,2024-01-17 10:00:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-01-17 11:00:00+09:00,2024-01-18 11:00:00+09:00
ns-16904374776309414,instance-1631-0,Pending,2024-01-18 16:00:00+09:00,2024-01-18 16:15:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-01-18 16:15:00+09:00,2024-01-19 16:00:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-01-22 09:45:00+09:00,2024-01-23 09:45:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-01-24 14:15:00+09:00,2024-01-25 14:15:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-01-25 14:45:00+09:00,2024-01-26 14:45:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-01-26 15:00:00+09:00,2024-01-27 15:00:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-01-29 09:45:00+09:00,2024-01-30 09:45:00+09:00
ns-16904374776309414,instance-1631-0,Pending,2024-01-30 09:45:00+09:00,2024-01-30 10:15:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-01-30 10:15:00+09:00,2024-02-01 09:45:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-02-01 10:45:00+09:00,2024-02-02 10:45:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-02-02 11:15:00+09:00,2024-02-03 11:15:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-02-05 09:45:00+09:00,2024-02-06 09:45:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-02-06 11:15:00+09:00,2024-02-07 11:15:00+09:00
ns-16904374776309414,instance-1631-0,Running,2024-02-07 13:30:00+09:00,2024-02-08 00:00:00+09:00
ns-16904374776309414,instance-1638-0,Running,2023-11-08 21:15:00+09:00,2023-11-09 10:30:00+09:00
ns-16904374776309414,instance-1639-0,Running,2023-11-08 21:15:00+09:00,2023-11-09 10:30:00+09:00
ns-16904374776309414,instance-1660-0,Running,2023-11-09 08:45:00+09:00,2023-11-10 08:45:00+09:00
ns-16904374776309414,instance-1660-0,Running,2023-11-10 09:00:00+09:00,2023-11-10 22:15:00+09:00
ns-16904374776309414,instance-1681-0,Running,2023-11-10 11:15:00+09:00,2023-11-11 11:15:00+09:00
ns-16904374776309414,instance-1692-0,Pending,2023-11-10 15:00:00+09:00,2023-11-10 15:15:00+09:00
ns-16904374776309414,instance-1692-0,Running,2023-11-10 15:15:00+09:00,2023-11-10 22:15:00+09:00
ns-16904374776309414,instance-1695-0,Running,2023-11-10 16:15:00+09:00,2023-11-10 22:15:00+09:00
ns-16904374776309414,instance-1699-0,Running,2023-11-10 22:15:00+09:00,2023-11-10 23:00:00+09:00
ns-16904374776309414,instance-1701-0,Running,2023-11-10 23:15:00+09:00,2023-11-10 23:30:00+09:00
ns-16904374776309414,instance-1702-0,Running,2023-11-11 12:30:00+09:00,2023-11-11 13:00:00+09:00
ns-16904374776309414,instance-1703-0,Pending,2023-11-11 12:30:00+09:00,2023-11-11 12:45:00+09:00
ns-16904374776309414,instance-1703-0,Running,2023-11-11 12:45:00+09:00,2023-11-11 13:00:00+09:00
ns-16904374776309414,instance-1704-0,Running,2023-11-11 12:30:00+09:00,2023-11-11 12:45:00+09:00
ns-16904374776309414,instance-1708-0,Running,2023-11-11 14:00:00+09:00,2023-11-11 15:00:00+09:00
ns-16904374776309414,instance-1709-0,Running,2023-11-11 14:00:00+09:00,2023-11-11 15:30:00+09:00
ns-16904374776309414,instance-1710-0,Running,2023-11-11 14:15:00+09:00,2023-11-11 14:30:00+09:00
ns-16904374776309414,instance-1711-0,Pending,2023-11-11 15:15:00+09:00,2023-11-11 15:45:00+09:00
ns-16904374776309414,instance-1712-0,Pending,2023-11-11 15:45:00+09:00,2023-11-11 16:00:00+09:00
ns-16904374776309414,instance-1712-0,Running,2023-11-11 16:00:00+09:00,2023-11-11 20:45:00+09:00
ns-16904374776309414,instance-1713-0,Pending,2023-11-11 15:45:00+09:00,2023-11-11 16:00:00+09:00
ns-16904374776309414,instance-1713-0,Running,2023-11-11 16:00:00+09:00,2023-11-11 16:15:00+09:00
ns-16904374776309414,instance-1714-0,Running,2023-11-11 16:15:00+09:00,2023-11-11 17:15:00+09:00
ns-16904374776309414,instance-1715-0,Running,2023-11-11 16:45:00+09:00,2023-11-11 17:15:00+09:00
ns-16904374776309414,instance-1716-0,Pending,2023-11-11 17:00:00+09:00,2023-11-11 17:15:00+09:00
ns-16904374776309414,instance-1716-0,Running,2023-11-11 17:15:00+09:00,2023-11-11 20:45:00+09:00
ns-16904374776309414,instance-1717-0,Running,2023-11-11 17:15:00+09:00,2023-11-11 20:45:00+09:00
ns-16904374776309414,instance-1719-0,Running,2023-11-11 20:15:00+09:00,2023-11-11 20:45:00+09:00
ns-16904374776309414,instance-1720-0,Running,2023-11-11 20:45:00+09:00,2023-11-12 00:30:00+09:00
ns-16904374776309414,instance-1721-0,Pending,2023-11-11 22:15:00+09:00,2023-11-11 22:30:00+09:00
ns-16904374776309414,instance-1721-0,Running,2023-11-11 22:30:00+09:00,2023-11-12 00:45:00+09:00
ns-16904374776309414,instance-1722-0,Pending,2023-11-11 22:45:00+09:00,2023-11-11 23:15:00+09:00
